Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification
US9760281,B2,"Sequential write stream management","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/_ukuoBdewzRv1jsnB4bJLg%3D%3D,G06F01300000,G06F0003061000,345540000
US20200167274,A1,"Zoned namespace with zone grouping","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/Bn0U0MHmjUNGNZTlszKYNQ%3D%3D,G06F01202000,G06F0003064000,345543000
US20200089407,A1,"Inter zone write for zoned namespaces","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/cv9263DSC5htwdSAqYdRyA%3D%3D,G06F00306000,G06F0003064000,711004000
US10108339,B2,"Reduction of intermingling of input and output operations in solid state drives","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/i4QLB0IkSJaY2hr7G9uN0g%3D%3D,G06F00306000,G06F0003060400,711004000
US10019198,B2,"Method and apparatus for processing sequential writes to portions of an addressable unit","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/wZNi-bkzkWdF021-K3DpXw%3D%3D,G06F01200000,G06F0003065900,710244000
US10656842,B2,"Using history of i/o sizes and i/o sequences to trigger coalesced writes in a non-volatile storage device","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/vOX8N4a0mdehu9c-hu1hMw%3D%3D,G06F01202000,G06F0003061600,345543000
US11797433,B2,"Zoned namespace with zone grouping","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/BhoeIMvTimPVOurRI_7wBA%3D%3D,G06F01202000,G06F0003064000,345543000
US10379782,B2,"Host managed solid state drivecaching using dynamic write acceleration","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/DX2pXW7eSBb5Az2VBXNFYg%3D%3D,G06F00306000,G06F0003065900,711004000
US20240411687,A1,"Zoned namespace with zone grouping","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/K4oRmb6MpiaEuIlf1mqyVw%3D%3D,G06F01202000,G06F0003064000,345543000
US20240020228,A1,"Zoned namespace with zone grouping","Sk Hynix Nand Product Solutions Corporation",https://patentscout.innography.com/share/-egXpyDPtQ6FCC8DMU584A%3D%3D,G06F01202000,G06F0003064000,345543000
US12093173,B2,"Zoned namespace with zone grouping","Sk Hynix Nand Product Solutions Corporation",https://patentscout.innography.com/share/nN-DCMLuWpVO3ZG1zJRSKg%3D%3D,G06F01202000,G06F0003064000,345543000
US20160283116,A1,"Sequential write stream management","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/1lgaex04XRH1gtN3-i7FTQ%3D%3D,G06F00306000,G06F0003061000,711004000
