Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US9928177,B2,"Managing method for cache memory of solid state drive","Solid State Storage Technology Corporation",https://patentscout.innography.com/share/Xwxsc5hlE09x9g1BtRMT3A%3D%3D,G06F01328000,G06F0012087100,710244000,2016-04-28,2018-03-27,2018-03-27,2013-08-21,2016-01-06,2034-01-27,2016-04-28,2015-02-26,"Lin, Sin-yu"
US11614893,B2,"Optimizing storage device access based on latency","Pure Storage, Inc.",https://patentscout.innography.com/share/eL_RlwY62XhZWL5BcJHikg%3D%3D,G06F00306000,G06F0003065900,711004000,2021-06-10,2023-03-28,2023-03-28,2010-09-15,2021-01-27,2031-10-15,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US9760281,B2,"Sequential write stream management","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/_ukuoBdewzRv1jsnB4bJLg%3D%3D,G06F01300000,G06F0003061000,345540000,2016-09-29,2017-09-12,2017-09-12,2015-03-27,2015-03-27,2035-06-05,2016-09-29,2016-09-29,"Ramalingam, Anand S"
US20210173588,A1,"Optimizing storage device access based on latency","Pure Storage, Inc.",https://patentscout.innography.com/share/FhxDsx9BHOf_tjb7R_95YQ%3D%3D,G06F00306000,G06F0003065900,711004000,2021-06-10,2023-03-28,2021-06-10,2010-09-15,2021-01-27,2023-03-28,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US11126561,B2,"Method and system for organizing nand blocks and placing data to facilitate high-throughput for random writes in a solid state drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/OHB-RoIS3BgVBnsE7seUFw%3D%3D,G06F01210090,G06F0003063100,713340000,2021-04-01,2021-09-21,2021-09-21,2019-10-01,2019-10-01,2039-12-13,2021-04-01,2021-04-01,"Li, Shu"
US12282686,B2,"Performing low latency operations using a distinct set of resources","Pure Storage, Inc.",https://patentscout.innography.com/share/VUlUKrZScMJyLodUyOLK5w%3D%3D,G06F00306000,G06F0003065900,711004000,2023-08-10,2025-04-22,2025-04-22,2010-09-15,2023-03-27,2030-09-15,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US20210286517,A1,"Utilizing allocation shares to improve parallelism in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/TBI_LcIDaoA5eajpjYnB4Q%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-16,2024-07-16,2021-09-16,2016-10-04,2021-06-02,2024-07-16,2021-09-16,2017-05-04,"Karr, Ronald|Brennan, Timothy W."
CN113778911,A,"L2p data caching method, device, readable storage medium and electronic device","Chengdu Biwin Storage Technology Co., Ltd.",https://patentscout.innography.com/share/VnZxUHA9z-nfjmrxpGYrWA%3D%3D,G06F01208710,G06F0012087100,713340000,2021-12-10,2023-11-21,2021-12-10,2021-08-04,2021-08-04,2023-11-21,2021-12-10,2021-12-10,"Sun, Chengsi|Sun, Rixin|Hu, Wei"
US11960724,B2,"Device for detecting zone parallelity of a solid state drive and operating method thereof","Sk Hynix Inc.; Industry-academic Cooperation Foundation, Dankook University",https://patentscout.innography.com/share/VHaOZP8l4K09suu-Xu54QA%3D%3D,G06F00306000,G06F0003067900,711004000,2023-03-16,2024-04-16,2024-04-16,2021-09-13,2022-09-02,2042-10-21,2023-03-16,2023-03-16,"Choi, Jongmoo|Oh, Myunghoon"
US10996863,B1,"Nonvolatile memory with configurable zone/namespace parameters and host-directed copying of data across zones/namespaces","Radian Memory Systems LLC",https://patentscout.innography.com/share/9qKea0pfUHU5nI-CzFurwA%3D%3D,G06F00306000,G06F0003061600,711004000,,2021-05-04,2021-05-04,2013-01-28,2020-03-27,2033-02-14,2020-05-05,2014-07-31,"Kuzmin, Andrey V.|Chen, Alan|Lercari, Robert"
US11360909,B1,"Configuration of flash memory structure based upon host discovery of underlying memory geometry","Radian Memory Systems LLC",https://patentscout.innography.com/share/n8cutomuz8P-gkFRNw2rSg%3D%3D,G06F01210090,G06F0012100900,713340000,,2022-06-14,2022-06-14,2014-09-09,2020-08-19,2036-12-13,2017-01-10,2014-07-31,"Lercari, Robert|Chen, Alan|Jadon, Mike|Robertson, Craig|Kuzmin, Andrey V."
