Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20120173790,A1,"Storage system cache with flash memory in a raid configuration","International Business Machines Corporation",https://patentscout.innography.com/share/PeAVBNCNzDZXJsDpZXX82w%3D%3D,G06F01202000,G06F0012086800,711103000,2012-07-05,2013-07-09,2012-07-05,2010-12-29,2010-12-29,2013-07-09,2012-07-05,2012-07-05,"Hetzler, Steven R|Smith, Daniel F"
US8484408,B2,"Storage system cache with flash memory in a raid configuration that commits writes as full stripes","International Business Machines Corporation",https://patentscout.innography.com/share/5JOP0WexOG1NAi0nKv9F6g%3D%3D,G06F01200000,G06F0012086800,711103000,2012-07-05,2013-07-09,2013-07-09,2010-12-29,2010-12-29,2021-07-09,2012-07-05,2012-07-05,"Hetzler, Steven Robert|Smith, Daniel Felix"
US20200004461,A1,"Reverse directory structure in a garbage collection unit (gcu)","Seagate Technology LLC",https://patentscout.innography.com/share/5baWmoTuNRcv9fFHeNQZDA%3D%3D,G06F00306000,G06F0012025300,711004000,2020-01-02,2021-01-19,2020-01-02,2018-06-29,2018-12-06,2021-01-19,2020-01-02,2020-01-02,"Scott, Benjamin J.|Williams, Steven S.|Perimutter, Stephen H.|Goss, Ryan J.|Benjamin, Daniel J."
US10896002,B2,"Reverse directory structure in a garbage collection unit (gcu)","Seagate Technology LLC",https://patentscout.innography.com/share/ErQyBWZjhA0M3H2CVBmQ1w%3D%3D,G06F01200000,G06F0012025300,710244000,2020-01-02,2021-01-19,2021-01-19,2018-06-29,2018-12-06,2038-12-28,2020-01-02,2020-01-02,"Scott, Benjamin J.|Williams, Steven S.|Perlmutter, Stephen H.|Goss, Ryan J.|Benjamin, Daniel J."
CN102541456,B,"Flash memory writing method and system under a sector mould","Arkmicro Technologies Inc.",https://patentscout.innography.com/share/5Bo7mNIbJ-IJAWYZw8AmmA%3D%3D,G06F00306000,G06F0003060000,711004000,2012-07-04,2016-08-24,2016-08-24,2010-12-13,2010-12-13,2030-12-12,2012-07-04,2012-07-04,"Xin, Ye|Hanguang, Li|Zhonghai, Wen|Xinping, Liao|Junfeng, Chang|Ling, Shi"
US20130318283,A1,"Specializing i/0 access patterns for flash storage","Netapp, Inc.",https://patentscout.innography.com/share/TJpz3ThIae0z6Masa28BXg%3D%3D,G06F01202000,G06F0012080200,711103000,2013-11-28,2017-05-09,2013-11-28,2012-05-22,2012-05-22,2017-05-09,2013-11-28,2013-11-28,"Small, Christopher|Byan, Stephen M|Lentini, James F"
CN105930097,A,"A distributed check type disk array to eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/H09YtOoZlv5_0I10dddr8A%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Guo, Changyou|Lyu, Wenzhi|Yu, Ruiling|Tan, Yuan"
CN105930097,B,"A distributed check type disk array eliminate partial lowercase operating in parallel","Dezhou University",https://patentscout.innography.com/share/nP6KCvgmezy3qkGxPfZv7A%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2019-01-29,2015-05-20,2016-04-14,2036-04-13,2016-09-07,2016-09-07,"Sun, Zhizhuo|Sun, Zhizhuo|Sun, Zhizhuo|Guo, Changyou|Guo, Changyou|Guo, Changyou|Lv, Wenzhi|Lv, Wenzhi|Lv, Wenzhi|Yu, Ruiling|Yu, Ruiling|Yu, Ruiling|Tan, Yuan|Tan, Yuan|Tan, Yuan"
CN105930098,A,"A centralized check disk array eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/Jnl978S1ufnjtDBzQpEGSg%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Hu, Kai|Liu, Lidong|Lyu, Wenzhi|Tan, Yuan"
CN105930098,B,"A centralized check disk array eliminate partial lowercase operating in parallel","Dezhou University",https://patentscout.innography.com/share/UZgl17vnmT87k9ivHtE7yQ%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2019-01-29,2015-05-20,2016-04-14,2036-04-13,2016-09-07,2016-09-07,"Sun, Zhizhuo|Sun, Zhizhuo|Sun, Zhizhuo|Hu, Kai|Hu, Kai|Hu, Kai|Liu, Lidong|Liu, Lidong|Liu, Lidong|Lv, Wenzhi|Lv, Wenzhi|Lv, Wenzhi|Tan, Yuan|Tan, Yuan|Tan, Yuan"
CN105930099,A,"A double-disk fault-tolerant disk array eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/Ocwo1p8OhuQf09xlogUyKQ%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Wang, Hongfeng|Yu, Ruiling|Liu, Lidong|Tan, Yuan"
