Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20230333759,A1,"Storage system reconfiguration based on bandwidth availability","Pure Storage, Inc.",https://patentscout.innography.com/share/VIMG6lrPVi3aZXeNgZwmDw%3D%3D,G06F00306000,G06F0003063400,711004000,2023-10-19,,2023-10-19,2016-12-19,2023-06-26,2037-01-27,2019-02-05,2019-02-05,"Freilich, Joshua"
US20220197514,A1,"Balancing the number of read operations and write operations that may be simultaneously serviced by a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/crZKOMWpFXqV8W4eXuwhcg%3D%3D,G06F00306000,G06F0003061100,711004000,2022-06-23,2025-07-08,2022-06-23,2010-09-15,2022-03-14,2025-07-08,2022-03-15,2012-03-15,"Colgrove, John|Harmer, Craig|Hayes, John|Hong, Bo|Miller, Ethan|Wang, Feng"
US8448020,B2,"Method and apparatus for dispersed storage memory device selection","Pure Storage, Inc.",https://patentscout.innography.com/share/QUUPES95306bkmbD7BQZuA%3D%3D,G06F01100000,G06F0003061900,714006240,2012-10-04,2013-05-21,2013-05-21,2009-09-30,2012-06-15,2025-06-23,2011-03-31,2011-03-31,"Hoffman, Steven Mark|Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US20180181332,A1,"Expanding a dispersed storage network memory beyond two locations","Pure Storage, Inc.",https://patentscout.innography.com/share/Q_Ciw1mSC6GoHrxxPl-Vdg%3D%3D,G06F00306000,G06F0003063100,711004000,2018-06-28,,2018-06-28,2014-10-29,2018-02-21,2021-03-30,2018-06-28,2016-05-05,"Baptist, Andrew D.|Resch, Jason K."
US20180275903,A1,"Automated provisioning of storage devices in distributed storage networks","Pure Storage, Inc.",https://patentscout.innography.com/share/DofUROQACds1XaCdgnDj-A%3D%3D,G06F00306000,G06F0003063200,711004000,2018-09-27,,2018-09-27,2012-03-02,2018-06-01,2021-11-08,2018-09-27,2013-09-05,"Resch, Jason K.|Leggette, Wesley B.|Peake, Andrew G.|Cilfone, Bart R."
US20180101434,A1,"Listing types in a distributed storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/lbmeSmbRy6v5waQJ_L1C9Q%3D%3D,G06F01110000,G06F0003064700,714807000,2018-04-12,,2018-04-12,2014-12-31,2017-12-11,2022-03-25,2018-04-12,2016-06-30,"Gray, Adam M.|Dhuse, Greg R.|Baptist, Andrew D.|Khadiwala, Ravi V.|Leggette, Wesley B.|Horan, Scott M.|Borich, Franco V.|Cilfone, Bart R.|Scholl, Daniel J."
US20230244399,A1,"Selecting storage resources based on data characteristics","Pure Storage, Inc.",https://patentscout.innography.com/share/PIfNuE6OnWjCT-8GmROGHA%3D%3D,G06F00306000,G06F0003064400,711004000,2023-08-03,2025-07-08,2023-08-03,2015-08-24,2023-04-06,2025-07-08,2023-04-11,2017-03-02,"Bernat, Andrew|Dewitt, Zoltan|Colgrove, John"
US20180107404,A1,"Garbage collection system and process","Pure Storage, Inc.",https://patentscout.innography.com/share/hUpnjZ-B8ZLQzyLQ2yLU-A%3D%3D,G06F00306000,G06F0003060800,711004000,2018-04-19,,2018-04-19,2015-11-02,2017-11-28,2021-08-12,2018-04-19,2017-05-04,"Cox, Mark Leslie|Emberson, Mark Alexander Hugh|Power, Tyler Wayne"
US20210019067,A1,"Data deduplication across storage systems","Pure Storage, Inc.",https://patentscout.innography.com/share/iUyLIS5I9kgbipXCxWc83w%3D%3D,G06F00306000,G06F0003060800,711004000,2021-01-21,,2021-01-21,2019-07-18,2020-04-28,2024-03-01,2021-01-21,2017-05-04,"Miller, Andrew|Mack, Thomas|Karr, Ronald"
US20230315346,A1,"Utilizing multiple redundancy schemes within a unified storage element","Pure Storage, Inc.",https://patentscout.innography.com/share/cfxlQAKAEWQxel6nzDSg8Q%3D%3D,G06F00306000,G06F0003065900,711004000,2023-10-05,2024-04-16,2023-10-05,2017-06-12,2023-02-27,2024-04-16,2018-12-20,2018-12-13,"Karr, Ronald|Sapuntzakis, Constantine|Colgrove, John"
