Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
KR20250100185,A,"Storage device, electronic device comprising storage device, and driving method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/JzACJudnh3ymDT2IlIC1AQ%3D%3D,G06F00306000,G06F0003065800,711004000,2025-07-03,,2025-07-03,2023-12-26,2023-12-26,2043-12-26,2025-07-03,2025-07-03,
CN111352581,A,"Method of writing the data in the storage device, storage device and storage system","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/dzLSknGLakPCMTkg3teQgQ%3D%3D,G06F00306000,G06F0003065600,711004000,2020-06-30,2024-05-28,2020-06-30,2018-12-20,2019-12-16,2024-05-28,2020-06-25,2020-06-25,"Kim, Bo-keong|Lee, Ju-young|Jung, Seok-pal|Cho, Sung-hyun|Choi, Seung-eun"
US11868257,B2,"Cache write overlap handling","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/3nTAOlz6uwdJeOQTqamvqg%3D%3D,G06F01208000,G06F0012081500,711003000,2022-10-27,2024-01-09,2024-01-09,2017-06-12,2022-07-08,2038-06-08,2018-12-13,2018-12-13,"Benisty, Shay"
US20230045892,A1,"Storage device, an operation method of a storage system including the storage device, and a host device controlling the storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/y3BN5Fc51VESRqQurB-NwA%3D%3D,G06F00306000,G06F0003065800,711004000,2023-02-16,2024-02-13,2023-02-16,2019-08-02,2022-10-20,2024-02-13,2021-02-02,2021-02-02,"Cho, Hyunsoo|Kim, Dong-min|Lee, Kyoung Back"
US11899980,B2,"Storage device including a turbo write buffer divided into a non-pinned buffer area and a pinned buffer area, an operation method of a storage system including the storage device in which data of the non-pinned and pinned buffer areas are flushed differently, and a host device controlling the storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/znYgtuX5vRtibOsE-0UiLA%3D%3D,G06F00306000,G06F0003065800,711004000,2023-02-16,2024-02-13,2024-02-13,2019-08-02,2022-10-20,2040-07-30,2021-02-02,2021-02-02,"Cho, Hyunsoo|Kim, Dong-min|Lee, Kyoung Back"
KR102583244,B1,"Storage device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/jf4qX16-HkiAzWqKFWBQ-A%3D%3D,G06F00306000,G06F0003061100,711004000,2023-08-04,2023-09-26,2023-09-26,2022-01-28,2022-01-28,2042-01-28,2023-08-01,2023-08-01,"Rho, Eunhee|Kim, Seokhwan"
US20230259304,A1,"Techniques to perform a write operation","Micron Technology, Inc.",https://patentscout.innography.com/share/65YvEtOmwuPBNn-RlLt8RQ%3D%3D,G06F00306000,G06F0003065600,711004000,2023-08-17,2023-10-03,2023-08-17,2022-02-15,2022-02-15,2023-10-03,2023-08-17,2023-08-17,"Hanna, Stephen"
CN116610251,A,"Techniques for performing write operations","Micron Technology Inc.",https://patentscout.innography.com/share/XVPiwwxdXoty64v0LidzXA%3D%3D,G06F00306000,G06F0003065600,711004000,2023-08-18,,2023-08-18,2022-02-15,2023-02-13,2043-02-13,2023-08-17,2023-08-17,"Khanna, Sudhanshu"
US11775207,B2,"Techniques to perform a write operation","Micron Technology, Inc.",https://patentscout.innography.com/share/hAKtrBoMFG4Qlp2hpvhxdQ%3D%3D,G06F00306000,G06F0003065600,711004000,2023-08-17,2023-10-03,2023-10-03,2022-02-15,2022-02-15,2042-03-17,2023-08-17,2023-08-17,"Hanna, Stephen"
CN107870868,A,"Storage device and storage system","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/KAZ3og_0P1ZLZSni3rfQqA%3D%3D,G06F01202000,G06F0012023800,345543000,2018-04-03,2023-09-29,2018-04-03,2016-09-22,2017-09-14,2023-09-29,2018-03-22,2018-03-22,"Hyuntae, Park|Jinhyeok, Choi|Hwaseok, Oh|Sungho, Seo|Youngmin, Lee|Ji-seung, Youn"
